tailnum,sum,,,,"SELECT b.tailnum, SUM(CAST(a.air_time AS INTEGER))"
N3751B,655,,,,
N3750D,654,,,,
N87513,654,,,,
N573UA,652,,,,
N466UA,650,,,,
N802UA,648,,,,
N37287,648,,,,
N14204,646,,,,
N820UA,645,,,,
N369NW,643,,,,
N38268,642,,,,
N807AW,641,,,,
N805JB,640,,,,
N14102,639,,,,
N384HA,639,,,,
N768JB,638,,,,
N331NW,638,,,,
N14118,636,,,,
N12996,636,,,,
N381HA,635,,,,
N77066,634,,,,
N77261,633,,,,
N274JB,632,,,,
N3754A,629,,,,
N520JB,629,,,,
N76064,628,,,,
N14558,628,,,,
N284JB,626,,,,
N550UW,625,,,,
N662JB,625,,,,
N292JB,618,,,,
N979DL,618,,,,
N37408,614,,,,
N13750,613,,,,
N595JB,612,,,,
N10575,612,,,,
N3748Y,611,,,,
N630JB,611,,,,
N3744F,609,,,,
N545UW,605,,,,
N376NW,604,,,,
N535UW,602,,,,
N562JB,602,,,,
N825UA,601,,,,
N923DL,595,,,,
N78511,595,,,,
N537JB,593,,,,
N179JB,592,,,,
N15555,592,,,,
N852VA,590,,,,
N613JB,590,,,,
N13550,587,,,,
N27733,586,,,,
N842UA,585,,,,
N14543,585,,,,
N16709,583,,,,
N374DA,583,,,,
N580UA,580,,,,
N37267,577,,,,
N965DL,577,,,,
N18119,577,,,,
N17245,576,,,,
N37255,576,,,,
N11184,576,,,,
N11547,572,,,,
N14168,571,,,,
N621JB,570,,,,
N34131,569,,,,
N533UA,569,,,,
N670DN,568,,,,
N81449,566,,,,
N573AA,566,,,,
N653JB,565,,,,
N977AT,565,,,,
N322US,564,,,,
N900DE,564,,,,
N667AW,564,,,,
N58101,564,,,,
N712JB,558,,,,
N633DL,558,,,,
N36207,557,,,,
N17122,555,,,,
N13118,554,,,,
N821JB,553,,,,
N37456,552,,,,
N934XJ,551,,,,
N441UA,551,,,,
N76517,551,,,,
N18557,551,,,,
N324JB,549,,,,
N394DA,545,,,,
N397DA,544,,,,
N16911,544,,,,
N308DE,543,,,,
N18220,542,,,,
N675DL,541,,,,
N427UA,541,,,,
N380DA,539,,,,
N446UA,538,,,,
N430UA,532,,,,
N587JB,532,,,,
N77296,532,,,,
N12922,530,,,,
N27205,529,,,,
N361NB,528,,,,
N494UA,528,,,,
N77510,527,,,,
N908DL,526,,,,
N432UA,526,,,,
N344NB,525,,,,
N600LR,525,,,,
N830UA,522,,,,
N528UA,522,,,,
N239JB,521,,,,
N13553,519,,,,
N87512,516,,,,
N554JB,515,,,,
N13958,514,,,,
N305DQ,514,,,,
N469UA,513,,,,
N843UA,513,,,,
N920XJ,513,,,,
N366NB,513,,,,
N438UA,511,,,,
N17104,510,,,,
N509JB,508,,,,
N680AW,507,,,,
N73259,507,,,,
N53442,505,,,,
N374NW,505,,,,
N606JB,505,,,,
N338NW,504,,,,
N497UA,503,,,,
N363NW,502,,,,
N16919,502,,,,
N900PC,501,,,,
N948DL,501,,,,
N655JB,499,,,,
N703JB,499,,,,
N707TW,497,,,,
N401UA,497,,,,
N73299,497,,,,
N74856,496,,,,
N413UA,496,,,,
N34222,496,,,,
N906XJ,496,,,,
N478UA,495,,,,
N73275,494,,,,
N349NW,494,,,,
N951UW,493,,,,
N78285,492,,,,
N840UA,492,,,,
N357AA,491,,,,
N75425,491,,,,
N329JB,491,,,,
N574UA,491,,,,
N699DL,491,,,,
N612AA,490,,,,
N14162,488,,,,
N361NW,487,,,,
N436UA,487,,,,
N902XJ,486,,,,
N75432,485,,,,
N569UA,484,,,,
N67134,483,,,,
N17185,483,,,,
N814UA,481,,,,
N24211,479,,,,
N14219,479,,,,
N496UA,479,,,,
N76288,477,,,,
N203FR,476,,,,
N627DL,476,,,,
N201FR,475,,,,
N587UA,474,,,,
N426UA,474,,,,
N426AA,474,,,,
N656JB,474,,,,
N37290,473,,,,
N371NB,472,,,,
N933XJ,472,,,,
N961DL,472,,,,
N26215,472,,,,
N539UW,471,,,,
N560UW,470,,,,
N479UA,469,,,,
N640JB,469,,,,
N283JB,468,,,,
N425UA,465,,,,
N357NB,465,,,,
N364NB,464,,,,
N933DL,463,,,,
N770SA,462,,,,
N7738A,462,,,,
N3738B,461,,,,
N13975,461,,,,
N644JB,460,,,,
N544AA,460,,,,
N14953,460,,,,
N79279,459,,,,
N19130,459,,,,
N556AA,458,,,,
N38257,458,,,,
N485UA,457,,,,
N21197,456,,,,
N909DL,455,,,,
N406UA,455,,,,
N371DA,455,,,,
N526UA,454,,,,
N923WN,454,,,,
N14153,454,,,,
N18120,454,,,,
N637DL,452,,,,
N910XJ,452,,,,
N811UA,451,,,,
N19117,451,,,,
N37252,449,,,,
N519JB,449,,,,
N24212,449,,,,
N608JB,449,,,,
N54711,448,,,,
N24729,447,,,,
N433UA,445,,,,
N21723,445,,,,
N3758Y,443,,,,
N206JB,443,,,,
N804UA,442,,,,
N21129,439,,,,
N3740C,439,,,,
N505JB,438,,,,
N3767,437,,,,
N265JB,436,,,,
N13994,435,,,,
N16701,435,,,,
N24715,435,,,,
N15712,434,,,,
N22909,434,,,,
N375NC,431,,,,
N3730B,431,,,,
N484UA,430,,,,
N947DL,429,,,,
N14106,427,,,,
N439UA,425,,,,
N423UA,422,,,,
N11137,421,,,,
N310DE,418,,,,
N325US,416,,,,
N76529,416,,,,
N73291,416,,,,
N503JB,415,,,,
N654AW,414,,,,
N849UA,414,,,,
N932XJ,413,,,,
N904XJ,412,,,,
N17105,412,,,,
N510UW,412,,,,
N12540,412,,,,
N75426,410,,,,
N45905,409,,,,
N3771K,408,,,,
N76516,406,,,,
N658DL,406,,,,
N656AW,406,,,,
N545AA,406,,,,
N3739P,405,,,,
N912DE,405,,,,
N11107,404,,,,
N15986,402,,,,
N315US,402,,,,
N931XJ,402,,,,
N79402,400,,,,
N436AA,400,,,,
N915XJ,399,,,,
N957WN,398,,,,
N547UW,398,,,,
N745VJ,397,,,,
N377NW,396,,,,
N328JB,395,,,,
N354NW,395,,,,
N927DA,392,,,,
N162UW,392,,,,
N544UW,391,,,,
N77871,391,,,,
N983DL,391,,,,
N651AW,390,,,,
N79521,390,,,,
N919XJ,389,,,,
N21130,386,,,,
N817UA,386,,,,
N905XJ,386,,,,
N431UA,385,,,,
N601AW,385,,,,
N12221,383,,,,
N540UW,383,,,,
N673AW,381,,,,
N76523,378,,,,
N317NB,378,,,,
N710SW,377,,,,
N570UA,375,,,,
N77520,374,,,,
N325NB,373,,,,
N692DL,373,,,,
N24224,373,,,,
N566AA,373,,,,
N552UW,372,,,,
N14902,371,,,,
N561UA,370,,,,
N487AA,367,,,,
N689DL,366,,,,
N14991,366,,,,
N437UA,363,,,,
N908XJ,362,,,,
N555NW,362,,,,
N53441,361,,,,
N14120,360,,,,
N19966,359,,,,
N326NB,357,,,,
N377AA,357,,,,
N11127,357,,,,
N18223,357,,,,
N180US,356,,,,
N481UA,355,,,,
N187JB,355,,,,
N19141,354,,,,
N344AA,354,,,,
N843VA,353,,,,
N642VA,352,,,,
N13903,352,,,,
N916WN,352,,,,
N16178,352,,,,
N630AA,352,,,,
N78506,351,,,,
N13978,351,,,,
N855UA,351,,,,
N907XJ,350,,,,
N335AA,350,,,,
N37464,348,,,,
N371NW,346,,,,
N329AA,346,,,,
N14107,346,,,,
N320AA,346,,,,
N12225,346,,,,
N579AS,345,,,,
N14171,345,,,,
N485WN,344,,,,
N12126,344,,,,
N381DN,344,,,,
N535UA,343,,,,
N558AS,343,,,,
N258WN,343,,,,
N925DL,343,,,,
N175DN,342,,,,
N14250,342,,,,
N276WN,342,,,,
N659DL,342,,,,
N3761R,341,,,,
N12125,340,,,,
N14952,339,,,,
N38459,339,,,,
N3759,339,,,,
N482WN,338,,,,
N594AS,338,,,,
N448UA,338,,,,
N71411,338,,,,
N822UA,338,,,,
N714CB,336,,,,
N37281,336,,,,
N17133,335,,,,
N622VA,335,,,,
N543UA,334,,,,
N37420,334,,,,
N705JB,334,,,,
N900WN,334,,,,
N13989,334,,,,
N3772H,334,,,,
N632VA,334,,,,
N801AW,333,,,,
N13965,333,,,,
N851VA,333,,,,
N895AT,333,,,,
N57864,332,,,,
N597UA,332,,,,
N11565,332,,,,
N706TW,331,,,,
N546AS,330,,,,
N841VA,330,,,,
N577UA,330,,,,
N3765,330,,,,
N936AT,330,,,,
N754EV,330,,,,
N586JB,330,,,,
N307DQ,329,,,,
N955DL,329,,,,
N339JB,329,,,,
N832UA,329,,,,
N854VA,328,,,,
N369NB,328,,,,
N480UA,328,,,,
N23139,327,,,,
N584AA,327,,,,
N565UA,327,,,,
N12238,326,,,,
N476WN,326,,,,
N929AT,326,,,,
N533AS,325,,,,
N312US,324,,,,
N642AW,324,,,,
N915DE,324,,,,
N6710E,323,,,,
N77525,323,,,,
N924XJ,323,,,,
N13988,323,,,,
N37263,321,,,,
N816UA,321,,,,
N845VA,320,,,,
N229JB,320,,,,
N835UA,320,,,,
N918DL,320,,,,
N621VA,320,,,,
N688DL,320,,,,
N14960,319,,,,
N530UA,319,,,,
N633VA,318,,,,
N964DL,318,,,,
N824UA,317,,,,
N925XJ,317,,,,
N36247,316,,,,
N905DL,316,,,,
N41104,316,,,,
N905DE,316,,,,
N12136,315,,,,
N592AS,314,,,,
N57857,314,,,,
N309US,314,,,,
N13248,314,,,,
N995DL,313,,,,
N907DL,313,,,,
N326US,313,,,,
N37434,312,,,,
N87527,312,,,,
N33103,312,,,,
N47414,311,,,,
N76505,311,,,,
N75851,310,,,,
N980DL,310,,,,
N12218,310,,,,
N3753,310,,,,
N14121,309,,,,
N358NW,309,,,,
N323JB,309,,,,
N36915,309,,,,
N14993,309,,,,
N838VA,308,,,,
N837AW,308,,,,
N16703,308,,,,
N360NB,308,,,,
N807UA,307,,,,
N548UW,307,,,,
N26210,307,,,,
N522UA,307,,,,
N216WR,307,,,,
N720WN,306,,,,
N452UA,306,,,,
N335NW,305,,,,
N33203,305,,,,
N73256,305,,,,
N26208,305,,,,
N14920,304,,,,
N821AW,303,,,,
N75435,303,,,,
N819UA,303,,,,
N281WN,302,,,,
N15572,302,,,,
N708EV,302,,,,
N543UW,302,,,,
N11548,301,,,,
N676AW,301,,,,
N578AA,300,,,,
N746JB,300,,,,
N917DL,300,,,,
N938DL,298,,,,
N473UA,298,,,,
N458WN,298,,,,
N19136,297,,,,
N319US,296,,,,
N17984,296,,,,
N3736C,295,,,,
N379DA,295,,,,
N3763D,294,,,,
N971DL,294,,,,
N209WN,294,,,,
N36272,293,,,,
N396DA,293,,,,
N738US,293,,,,
N517JB,292,,,,
N936DL,292,,,,
N520UW,292,,,,
N951DL,292,,,,
N339NW,290,,,,
N922XJ,287,,,,
N594AA,285,,,,
N973DL,285,,,,
N34455,284,,,,
N36280,284,,,,
N14105,283,,,,
N77431,283,,,,
N337NB,283,,,,
N301NB,283,,,,
N941WN,282,,,,
N12564,281,,,,
N17115,281,,,,
N508AY,281,,,,
N13968,281,,,,
N31131,280,,,,
N3733Z,279,,,,
N789SW,279,,,,
N15912,279,,,,
N604LR,278,,,,
N825AW,278,,,,
N183JB,278,,,,
N424UA,278,,,,
N8646A,278,,,,
N177US,277,,,,
N14998,276,,,,
N13538,275,,,,
N470UA,274,,,,
N3731T,274,,,,
N829UA,273,,,,
N741EV,273,,,,
N713EV,273,,,,
N73283,272,,,,
N16918,271,,,,
N306JB,271,,,,
N169UW,270,,,,
N14959,270,,,,
N581AA,268,,,,
N341NB,267,,,,
N940DL,267,,,,
N435UA,267,,,,
N8501F,266,,,,
N3757D,266,,,,
N346NB,266,,,,
N13566,265,,,,
N954AT,265,,,,
N732SW,264,,,,
N403UA,264,,,,
N648DL,263,,,,
N812AY,263,,,,
N14143,263,,,,
N764SW,263,,,,
N468WN,263,,,,
N664AW,263,,,,
N11551,262,,,,
N755EV,262,,,,
N29917,262,,,,
N913XJ,261,,,,
N457UA,260,,,,
N792SW,260,,,,
N918XJ,259,,,,
N291WN,258,,,,
N254WN,258,,,,
N596AA,258,,,,
N808UA,257,,,,
N8611A,256,,,,
N956DL,255,,,,
N18556,255,,,,
N37462,254,,,,
N8976E,254,,,,
N324US,254,,,,
N618DL,254,,,,
N997AT,254,,,,
N464UA,254,,,,
N965WN,254,,,,
N905WN,254,,,,
N301DQ,253,,,,
N8836A,253,,,,
N328NW,253,,,,
N576UA,252,,,,
N565AA,252,,,,
N674DL,251,,,,
N348NW,251,,,,
N644DL,250,,,,
N928XJ,249,,,,
N914XJ,249,,,,
N76502,248,,,,
N66057,247,,,,
N513AA,247,,,,
N27213,247,,,,
N967DL,246,,,,
N17139,246,,,,
N957UW,246,,,,
N7740A,246,,,,
N904DL,245,,,,
N828AS,245,,,,
N521US,245,,,,
N988DL,245,,,,
N778SW,245,,,,
N494AA,245,,,,
N332NW,244,,,,
N455AA,244,,,,
N73276,244,,,,
N37298,243,,,,
N495WN,243,,,,
N901WN,243,,,,
N303DQ,242,,,,
N386DA,242,,,,
N428UA,242,,,,
N13124,242,,,,
N554AA,241,,,,
N912XJ,240,,,,
N964WN,240,,,,
N950WN,240,,,,
N854UA,239,,,,
N929XJ,239,,,,
N13913,239,,,,
N916XJ,239,,,,
N773SA,239,,,,
N564AA,239,,,,
N211FR,239,,,,
N922WN,238,,,,
N517AA,238,,,,
N810UA,237,,,,
N470AA,237,,,,
N76508,237,,,,
N513UA,237,,,,
N13970,236,,,,
N208FR,236,,,,
N589AA,236,,,,
N935WN,236,,,,
N601LR,235,,,,
N904DE,235,,,,
N14977,234,,,,
N578UA,233,,,,
N723SW,233,,,,
N466AA,233,,,,
N193JB,233,,,,
N924WN,233,,,,
N557AA,233,,,,
N347NB,233,,,,
N491UA,232,,,,
N76514,232,,,,
N33262,232,,,,
N382DA,231,,,,
N24706,231,,,,
N11189,230,,,,
N433AA,230,,,,
N461UA,230,,,,
N673UA,230,,,,
N936WN,229,,,,
N412UA,229,,,,
N667UA,229,,,,
N459UA,229,,,,
N595UA,229,,,,
N270WN,229,,,,
N429UA,229,,,,
N236JB,228,,,,
N439AA,228,,,,
N901XJ,228,,,,
N78501,228,,,,
N329NB,227,,,,
N669UA,227,,,,
N38454,227,,,,
N14228,227,,,,
N677UA,226,,,,
N982AT,225,,,,
N799SW,225,,,,
N19554,224,,,,
N909XJ,224,,,,
N27722,224,,,,
N7730A,223,,,,
N8492C,223,,,,
N356NW,222,,,,
N730EV,222,,,,
N286WN,222,,,,
N41135,221,,,,
N39418,221,,,,
N449UA,221,,,,
N214FR,220,,,,
N14115,220,,,,
N952UW,220,,,,
N277WN,220,,,,
N73251,219,,,,
N87507,219,,,,
N552UA,219,,,,
N14704,219,,,,
N553UA,218,,,,
N269WN,218,,,,
N26906,218,,,,
N562UA,218,,,,
N419UA,217,,,,
N68159,217,,,,
N76055,217,,,,
N582AA,217,,,,
N26123,217,,,,
N57439,216,,,,
N14179,216,,,,
N77430,214,,,,
N835AS,213,,,,
N209FR,213,,,,
N14186,213,,,,
N320US,212,,,,
N444UA,212,,,,
N671UA,211,,,,
N11536,211,,,,
N14237,210,,,,
N11181,210,,,,
N69059,210,,,,
N48127,209,,,,
N469WN,209,,,,
N12157,209,,,,
N12135,208,,,,
N501AA,208,,,,
N12552,207,,,,
N487UA,207,,,,
N66056,205,,,,
N21108,205,,,,
N76054,205,,,,
N571JB,204,,,,
N643JB,204,,,,
N16987,203,,,,
N391CA,199,,,,
N172US,199,,,,
N611QX,199,,,,
N634JB,197,,,,
N15983,197,,,,
N185UW,197,,,,
N323NB,196,,,,
N8855A,196,,,,
N649JB,195,,,,
N763JB,193,,,,
N765US,193,,,,
N33292,193,,,,
N75854,192,,,,
N615AA,192,,,,
N636DL,191,,,,
N371CA,190,,,,
N755US,190,,,,
N11140,190,,,,
N26545,190,,,,
N945UW,189,,,,
N747UW,189,,,,
N923XJ,188,,,,
N565UW,188,,,,
N16732,188,,,,
N760US,184,,,,
N438US,182,,,,
N555AY,182,,,,
N462WN,181,,,,
N357NW,180,,,,
N15574,180,,,,
N14905,180,,,,
N247JB,179,,,,
N748EV,178,,,,
N919DE,176,,,,
N364SW,176,,,,
N738EV,176,,,,
N719EV,175,,,,
N977DL,174,,,,
N724EV,174,,,,
N677AW,174,,,,
N740EV,172,,,,
N567UA,171,,,,
N8416B,171,,,,
N317US,171,,,,
N302NB,170,,,,
N8970D,168,,,,
N8710A,168,,,,
N37274,168,,,,
N813UA,168,,,,
N407UA,167,,,,
N186US,166,,,,
N639AA,166,,,,
N343NB,166,,,,
N831UA,165,,,,
N14568,165,,,,
N39423,165,,,,
N16541,165,,,,
N838UA,164,,,,
N316NB,163,,,,
N877AS,163,,,,
N38446,163,,,,
N78448,162,,,,
N336NW,162,,,,
N35260,162,,,,
N8525B,161,,,,
N37427,161,,,,
N38417,161,,,,
N919DL,160,,,,
N619AA,160,,,,
N571UA,159,,,,
N836AS,159,,,,
N368NW,159,,,,
N975DL,159,,,,
N16234,159,,,,
N442WN,159,,,,
N839UA,159,,,,
N337NW,158,,,,
N970DL,158,,,,
N347NW,158,,,,
N618AA,158,,,,
N26549,157,,,,
N486UA,157,,,,
N12109,157,,,,
N386AA,157,,,,
N372NW,156,,,,
N621AA,156,,,,
N841UA,156,,,,
N360NW,156,,,,
N371AA,156,,,,
N13133,155,,,,
N383SW,155,,,,
N342NW,155,,,,
N17196,155,,,,
N760EV,155,,,,
N590AA,155,,,,
N821UA,153,,,,
N999DN,153,,,,
N11544,153,,,,
N930XJ,153,,,,
N358AA,153,,,,
N359NB,153,,,,
N633AA,152,,,,
N231JB,152,,,,
N450WN,152,,,,
N561JB,151,,,,
N13113,151,,,,
N321US,150,,,,
N8409N,150,,,,
N329NW,150,,,,
N33132,150,,,,
N316JB,150,,,,
N990DL,150,,,,
N474UA,150,,,,
N385DN,150,,,,
N14242,150,,,,
N908DE,149,,,,
N705SW,149,,,,
N208WN,149,,,,
N12114,149,,,,
N480WN,148,,,,
N417UA,148,,,,
N756SA,148,,,,
N8444F,148,,,,
N921XJ,148,,,,
N75428,147,,,,
N833AS,147,,,,
N8908D,147,,,,
N777QC,146,,,,
N605LR,146,,,,
N575AA,146,,,,
N893AT,145,,,,
N840MQ,145,,,,
N487WN,145,,,,
N418UA,144,,,,
N729SW,143,,,,
N909WN,143,,,,
N22971,143,,,,
N906DL,143,,,,
N11113,142,,,,
N17560,142,,,,
N588UA,142,,,,
N827AY,142,,,,
N7704B,141,,,,
N426WN,141,,,,
N280WN,141,,,,
N523UA,140,,,,
N392DA,140,,,,
N27962,139,,,,
N235WN,139,,,,
N337JB,138,,,,
N201AA,138,,,,
N8324A,137,,,,
N297WN,137,,,,
N503UA,137,,,,
N552AA,137,,,,
N456UA,136,,,,
N957AT,136,,,,
N456WN,136,,,,
N414UA,136,,,,
N14125,135,,,,
N921WN,135,,,,
N917XJ,135,,,,
N678DL,135,,,,
N365NB,135,,,,
N29906,135,,,,
N17128,135,,,,
N13955,135,,,,
N920AT,134,,,,
N978AT,134,,,,
N603DL,134,,,,
N8924B,134,,,,
N947AT,134,,,,
N509SW,134,,,,
N945AT,133,,,,
N370SW,133,,,,
N372DA,133,,,,
N226WN,133,,,,
N8914A,132,,,,
N678CA,132,,,,
N173DZ,132,,,,
N288WN,131,,,,
N8412F,131,,,,
N318US,131,,,,
N918DE,131,,,,
N443WN,131,,,,
N6704Z,130,,,,
N752SW,130,,,,
N704X,130,,,,
N920DE,129,,,,
N753SW,129,,,,
N896AT,129,,,,
N758EV,129,,,,
N8329B,129,,,,
N604DL,129,,,,
N942AT,129,,,,
N16976,129,,,,
N181DN,129,,,,
N971AT,129,,,,
N322NB,129,,,,
N924AT,129,,,,
N437AA,129,,,,
N6707A,129,,,,
N994DL,129,,,,
N989DL,128,,,,
N717JL,128,,,,
N665DN,128,,,,
N751UW,128,,,,
N967AT,128,,,,
N641DL,128,,,,
N972AT,127,,,,
N744SW,127,,,,
N178DZ,127,,,,
N76254,127,,,,
N180DN,127,,,,
N486WN,127,,,,
N928AT,127,,,,
N598AA,127,,,,
N483WN,127,,,,
N695CA,126,,,,
N949DL,126,,,,
N76269,126,,,,
N992AT,126,,,,
N306DQ,126,,,,
N935DL,126,,,,
N6703D,126,,,,
N213WN,126,,,,
N541US,125,,,,
N543US,125,,,,
N348NB,125,,,,
N723EV,125,,,,
N643DL,125,,,,
N833AY,124,,,,
N304DQ,124,,,,
N926AT,124,,,,
N489WN,124,,,,
N467UA,123,,,,
N660DL,123,,,,
N917WN,123,,,,
N707SA,123,,,,
N938AT,123,,,,
N906AT,123,,,,
N704SW,122,,,,
N987AT,122,,,,
N612QX,122,,,,
N935AT,122,,,,
N293WN,122,,,,
N760SW,122,,,,
N528AA,121,,,,
N8316H,121,,,,
N453WN,121,,,,
N8516C,121,,,,
N550WN,121,,,,
N403WN,121,,,,
N651DL,121,,,,
N940AT,120,,,,
N990AT,120,,,,
N8946A,120,,,,
N491WN,120,,,,
N991DL,120,,,,
N553AA,120,,,,
N463UA,119,,,,
N519MQ,119,,,,
N963AT,119,,,,
N958WN,119,,,,
N408UA,119,,,,
N8306H,119,,,,
N492AA,119,,,,
N249WN,118,,,,
N232PQ,118,,,,
N228WN,118,,,,
N467AA,118,,,,
N540US,118,,,,
N523US,118,,,,
N593AA,118,,,,
N456AA,118,,,,
N848UA,117,,,,
N455UA,117,,,,
N41140,117,,,,
N933AT,117,,,,
N590NW,117,,,,
N471UA,117,,,,
N8311Q,117,,,,
N656SW,117,,,,
N436WN,116,,,,
N13949,116,,,,
N964AT,116,,,,
N668DN,116,,,,
N969AT,116,,,,
N638DL,116,,,,
N623DL,115,,,,
